DATABASE	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)
cpd03529	-61.39	0.725869
cpd03530	-149.47	0.441423
cpd03531	-159.85	1.2398
cpd03532	-148.47	0.432142
cpd03533	-43.34	1.17113
cpd03534	-145.32	0.919071
cpd03535	-270.31	1.82268
cpd03538	-47.4	2.2577
cpd03539	-133.32	2.26939
cpd03540	-116.83	2.55219
cpd03541	-86.25	2.43895
cpd03542	-64.06	1.47199
cpd03543	-65.72	1.6064
cpd03544	-65.75	1.44196
cpd03545	10000000	10000000
cpd03546	-64.06	1.47199
cpd03547	-49.53	2.54957
cpd03548	-119.47	1.55833
cpd03549	-113	1.55422
cpd03550	-171.85	1.37444
cpd03551	-165.29	1.25234
cpd03552	-156.07	1.80055
cpd03553	-153.81	1.62536
cpd03554	-34.21	2.18587
cpd03555	-34.21	2.18587
cpd03556	10000000	10000000
cpd03557	10000000	10000000
cpd03558	10000000	10000000
cpd03559	-41.91	0.242059
cpd03560	-265.48	3.06995
cpd03561	-121.55	0.266825
cpd03562	71.9	5.27986
cpd03563	62.42	5.27954
cpd03564	-810.96	3.54397
cpd03565	-298.93	3.47594
cpd03566	-267.1	3.06619
cpd03567	-199.37	0.485
cpd03568	-162.47	2.64617
cpd03569	-779.19	3.53544
cpd03570	-822.24	3.60849
cpd03571	-70.47	0.279396
cpd03572	-820.63	3.56957
cpd03577	-109.64	0.396045
cpd03579	-81.6525	1.18785
cpd03580	10000000	10000000
cpd03581	-766.34	2.92536
cpd03582	-681.24	3.07123
cpd03583	-429.92	0.743783
cpd03584	-783.35	3.32896
cpd03585	-1175.59	6.14014
cpd03586	-1411.42	7.14333
cpd03587	-1450.68	8.52733
cpd03588	-900.27	3.57365
cpd03589	-843.53	3.59841
cpd03590	-201.19	0.413131
cpd03591	-190.71	0.387896
cpd03592	-201.19	0.413131
cpd03593	-201.19	0.413131
cpd03595	-203.78	0.485159
cpd03596	-169.5	0.658074
cpd03597	-46.14	0.899355
cpd03598	-114.19	1.13024
cpd03599	-204.62	1.82407
cpd03600	-204.35	1.41835
cpd03601	-204.35	1.41835
cpd03602	10000000	10000000
cpd03603	-104.27	1.7094
cpd03604	-59.5	1.671
cpd03605	-47.04	2.23459
cpd03606	-397.84	0.387924
cpd03607	-373.07	0.439589
cpd03608	-160.57	0.464312
cpd03609	-80.93	0.395176
cpd03610	10000000	10000000
cpd03611	10000000	10000000
cpd03612	10000000	10000000
cpd03613	10000000	10000000
cpd03614	-0.16	1.6536
cpd03615	10000000	10000000
cpd03616	-42.14	0.917855
cpd03617	-68.89	0.970203
cpd03618	-279.33	3.02328
cpd03619	65.54	1.49891
cpd03620	70.23	2.5211
cpd03622	-153.74	7.34721
cpd03623	10000000	10000000
cpd03624	-85.44	1.54121
cpd03625	-21.7	12.8652
cpd03626	71.82	4.15659
cpd03627	-24.56	3.9561
cpd03628	10000000	10000000
cpd03629	-377.65	4.08979
cpd03630	10000000	10000000
cpd03631	10000000	10000000
cpd03632	10000000	10000000
cpd03633	10000000	10000000
cpd03634	10000000	10000000
cpd03635	10000000	10000000
cpd03636	10000000	10000000
cpd03637	157.84	6.06095
cpd03638	53.49	1.36417
cpd03639	-94.94	1.28765
cpd03640	-107.02	0.403185
cpd03641	-116.5	0.470019
cpd03642	-159.72	0.415482
cpd03643	-45.02	1.16219
cpd03644	10000000	10000000
cpd03645	-386.33	1.29914
cpd03646	-100.49	4.98339
cpd03647	-181.62	1.34975
cpd03648	-412.77	2.66975
cpd03649	-29.61	1.3102
cpd03650	9.44	1.20029
cpd03651	-248.58	1.3123
cpd03652	10000000	10000000
cpd03653	10000000	10000000
cpd03654	10000000	10000000
cpd03655	10000000	10000000
cpd03656	10000000	10000000
cpd03657	10000000	10000000
cpd03658	10000000	10000000
cpd03659	10000000	10000000
cpd03660	10000000	10000000
cpd03661	10000000	10000000
cpd03662	-40.29	0.311667
cpd03663	20.82	5.27921
cpd03664	73.52	5.28059
cpd03665	64.04	5.28173
cpd03666	-753.92	1.74992
cpd03667	-708.05	2.62231
cpd03668	-219.96	1.50038
cpd03669	-219.96	1.50038
cpd03670	-432.46	1.44976
cpd03671	-395.53	1.48131
cpd03672	-135.774	1.47756
cpd03673	-179.55	1.10338
cpd03674	-183.91	0.504916
cpd03675	-34.58	2.11932
cpd03676	-19.93	2.14254
cpd03677	-39.989	6.45522
cpd03678	10000000	10000000
cpd03679	-89.649	6.51302
cpd03680	-39.52	2.57136
cpd03681	10000000	10000000
cpd03682	10000000	10000000
cpd03683	10000000	10000000
cpd03684	10000000	10000000
cpd03685	10000000	10000000
cpd03686	10000000	10000000
cpd03687	-31.84	1.64338
cpd03688	27.85	1.04804
cpd03689	2.4	1.03153
cpd03690	71.5	1.80348
cpd03691	25.55	1.4641
cpd03692	-6.69	1.16525
cpd03693	22.32	2.29925
cpd03694	5.58	1.22111
cpd03695	-74.22	2.0428
cpd03696	-207.86	1.80709
cpd03697	-420.36	1.77425
cpd03698	-418.74	1.78076
cpd03699	-491.68	2.14406
cpd03700	-622.63	3.92265
cpd03701	-308.3	2.74042
cpd03702	-243.88	3.55825
cpd03703	10000000	0.981547
cpd03704	-273.74	2.68582
cpd03705	-657.7	6.07905
cpd03706	-1145.54	3.79628
cpd03707	3.56	1.47568
cpd03708	-213.93	0.662142
cpd03709	-39.83	0.902703
cpd03710	-97.69	1.1296
cpd03711	-108.67	1.82581
cpd03712	-27.96	1.60172
cpd03713	-267.95	0.846635
cpd03714	-128.84	1.07086
cpd03715	-110.47	1.07738
cpd03716	23.71	1.60086
cpd03717	63.19	1.60936
cpd03718	-1169.16	10.573
cpd03719	-1010.68	9.05923
cpd03720	-852.2	7.54615
cpd03721	-535.24	4.52507
cpd03722	-466.34	0.92734
cpd03723	-32.51	1.20755
cpd03724	10000000	10000000
cpd03725	10000000	10000000
cpd03726	10000000	10000000
cpd03727	-53.3	1.34557
cpd03728	-164.32	0.448248
cpd03729	10000000	10000000
cpd03730	-392.56	1.33764
cpd03731	-392.56	1.33764
cpd03732	-800.12	3.2124
cpd03733	-538.9	1.51476
cpd03734	-44.31	0.524353
cpd03735	-562.28	1.1857
cpd03736	-1432.67	7.73504
cpd03737	-109.45	0.347745
cpd03738	-144.72	1.18
cpd03739	10000000	10000000
cpd03740	10000000	10000000
cpd03741	10000000	10000000
cpd03742	10000000	10000000
cpd03743	10000000	10000000
cpd03744	10000000	10000000
cpd03745	10000000	10000000
cpd03746	10000000	10000000
cpd03747	10000000	10000000
cpd03748	10000000	10000000
cpd03749	10000000	10000000
cpd03750	-21.75	12.8481
cpd03751	42.53	12.876
cpd03752	-437.94	0.909703
cpd03753	-431.67	1.3115
cpd03754	-39.87	2.8199
cpd03755	-96.73	2.4665
cpd03756	-96.73	2.4665
cpd03757	-158.49	1.48033
cpd03758	-72.59	1.14576
cpd03759	-206.48	1.21354
cpd03760	10000000	10000000
cpd03761	10000000	10000000
cpd03762	-125.07	1.35942
cpd03763	-745.11	3.88662
cpd03764	60.86	1.73527
cpd03765	5.59	1.69185
cpd03766	-20.55	1.6682
cpd03767	-154.15	1.01552
cpd03768	-64.819	6.46128
cpd03769	-94.22	1.40326
cpd03770	-174.96	0.843609
cpd03771	-15.66	1.70647
cpd03772	-16.07	1.86904
cpd03773	-86.88	1.10228
cpd03774	-88.0925	1.16951
cpd03775	-88.0925	1.16951
cpd03776	-88.0925	1.16951
cpd03777	-171.113	1.29243
cpd03778	-135.68	0.997088
cpd03779	22.6	1.65192
cpd03780	-38.95	2.44251
cpd03781	-20.66	6.90121
cpd03782	-60.5	6.85742
cpd03783	-16.88	1.65327
cpd03784	22.6	1.65192
cpd03785	-17.29	1.69728
cpd03786	22.19	1.69597
cpd03787	-34.58	2.11932
cpd03788	-34.58	2.11932
cpd03789	-19.93	2.14254
cpd03790	-19.93	2.14254
cpd03791	-74.06	2.29403
cpd03792	-74.06	2.29403
cpd03793	-205.31	1.50162
cpd03794	-205.31	1.50162
cpd03795	31.7	1.63434
cpd03796	-126.22	2.18394
cpd03797	-86.74	1.96034
cpd03798	10000000	10000000
cpd03799	-28.12	1.12225
cpd03800	-26.5	1.12568
cpd03801	-24.88	1.13591
cpd03802	6.41	1.20707
cpd03803	-353.18	0.61184
cpd03804	10000000	10000000
cpd03805	-390.94	1.34052
cpd03806	10000000	10000000
cpd03807	-688.07	6.0345
cpd03808	-371.11	3.05383
cpd03809	-376.76	3.02215
cpd03810	10000000	10000000
cpd03811	10000000	10000000
cpd03812	-425.13	1.60826
cpd03813	-395.53	1.48131
cpd03814	10000000	10000000
cpd03815	10000000	10000000
cpd03816	-87.3	1.89053
cpd03817	-129.74	1.5208
cpd03818	-49.09	0.968363
cpd03819	-84.34	0.956654
cpd03820	-121.68	3.06007
cpd03821	-156.06	4.28075
cpd03822	-757.49	3.65825
cpd03823	10000000	10000000
cpd03824	10000000	10000000
cpd03825	-60.39	6.83206
cpd03826	-94.55	6.82811
cpd03827	-9.96	6.83391
cpd03828	-80.61	0.437511
cpd03829	62.88	1.99882
cpd03830	-659.05	3.95184
cpd03831	-659.05	3.95184
cpd03832	10000000	10000000
cpd03833	10000000	10000000
cpd03834	10000000	10000000
cpd03835	10000000	10000000
cpd03836	60.86	1.73527
cpd03837	-20.55	1.6682
cpd03838	5.59	1.69185
cpd03839	10000000	10000000
cpd03840	-86.49	0.43806
cpd03841	-84.87	0.446773
cpd03842	-45.63	1.132
cpd03843	-90.53	0.901239
cpd03844	-376.76	3.02215
cpd03845	-376.76	3.02215
cpd03846	-77.03	0.549291
cpd03847	-67.31	1.06502
cpd03848	-57.59	1.58804
cpd03849	6.25	1.70393
cpd03850	6.25	1.70393
cpd03851	54.21	2.52467
cpd03852	79.81	2.99179
cpd03853	-206.3	1.11016
cpd03854	-257.1	3.16678
cpd03856	-343.29	2.78713
cpd03857	-427.48	1.94628
cpd03858	-135.27	1.29709
cpd03859	-90.55	1.75018
cpd03860	-207	1.14395
cpd03861	-393.45	1.18891
cpd03862	-116.88	0.731841
cpd03863	10000000	10000000
cpd03864	-41.68	1.8137
cpd03865	-225.93	2.48012
cpd03866	-183.49	2.59012
cpd03867	-187.26	2.52923
cpd03868	-147.46	2.49929
cpd03869	-226.87	3.65354
cpd03870	-243.26	0.490216
cpd03871	-243.45	0.502469
cpd03872	-221.17	1.9077
cpd03873	-244.88	0.466031
cpd03874	-288.1	0.453785
cpd03875	10000000	10000000
cpd03876	-151.31	2.01402
cpd03877	10000000	10000000
cpd03878	-193.23	2.62698
cpd03879	-143.4	1.19892
cpd03880	-218.28	1.54422
cpd03881	-218.28	1.54422
cpd03882	-218.28	1.54422
cpd03883	-218.28	1.54422
cpd03884	-217.61	1.3695
cpd03885	-296.8	1.42123
cpd03886	-246.4	1.54373
cpd03887	-142.21	1.33262
cpd03888	-261.5	1.49878
cpd03889	-258.18	0.742035
cpd03890	-168.72	1.21972
cpd03891	-141.83	1.41532
cpd03892	-97.11	1.83952
cpd03893	-261.5	1.49878
cpd03894	-168.72	1.21972
cpd03895	10000000	10000000
cpd03896	-171.88	0.658949
cpd03897	-92.82	3.61905
cpd03899	10000000	10000000
cpd03900	-12.67	2.88336
cpd03901	-7.31	2.79052
cpd03902	-95.8	3.3467
cpd03903	-11.42	2.89794
cpd03904	-18.03	3.07132
cpd03905	-9.3	2.77241
cpd03906	-4.44	2.82611
cpd03907	-4.07	2.82348
cpd03908	-6.06	2.80558
cpd03909	-6.06	2.80558
cpd03910	-21.27	3.05117
cpd03911	10000000	10000000
cpd03912	-303.03	0.906441
cpd03913	10000000	10000000
cpd03914	10000000	10000000
cpd03915	10000000	10000000
cpd03916	10000000	10000000
cpd03917	10000000	10000000
cpd03918	10000000	10000000
cpd03919	10000000	10000000
cpd03920	10000000	10000000
cpd03921	5	4.56268
cpd03922	-7.27	4.45823
cpd03923	10000000	10000000
cpd03924	10000000	10000000
cpd03925	5	4.56268
cpd03926	-44.76	2.40529
cpd03927	-59.41	2.30863
cpd03928	-44.76	2.40529
cpd03929	-59.41	2.30863
cpd03930	-44.76	2.40529
cpd03931	40.5	2.00411
cpd03932	10000000	10000000
cpd03933	23.33	1.16127
cpd03934	68.32	1.68092
cpd03935	12.9	2.31183
cpd03936	10000000	10000000
cpd03937	10000000	10000000
cpd03938	10000000	10000000
cpd03939	10000000	10000000
cpd03940	10000000	10000000
cpd03941	10000000	10000000
cpd03942	-2	2.86442
cpd03943	10000000	10000000
cpd03944	-9.15	3.74997
cpd03945	59.35	2.59943
cpd03946	58.6	2.54968
cpd03947	73.25	2.58594
cpd03948	-128.86	4.68791
cpd03949	-108.08	4.73142
cpd03950	-104.03	4.43709
cpd03951	10000000	10000000
cpd03952	35.6	8.20892
cpd03953	10000000	10000000
cpd03954	10000000	10000000
cpd03955	-45.9	1.82278
cpd03956	17.42	1.06658
cpd03957	-15.84	1.86849
cpd03958	10000000	10000000
cpd03959	55.03	2.36981
cpd03960	20.91	2.33534
cpd03961	-29.06	2.15375
cpd03962	-78.84	2.09329
cpd03963	-85.12	1.38672
cpd03964	48.79	2.1935
cpd03965	14.67	2.15621
cpd03966	-28.87	2.1418
cpd03967	48.6	2.20517
cpd03968	42.36	2.20347
cpd03969	-105.44	2.27583
cpd03970	-158.3	2.42596
cpd03971	-108.04	2.33062
cpd03972	-199.54	1.8467
cpd03973	-182.87	1.92382
cpd03974	-289.68	2.16846
cpd03975	-265.16	2.09622
cpd03976	-304.33	2.13067
cpd03977	-189.03	4.71728
cpd03978	-194.39	4.75646
cpd03979	-441.69	4.48939
cpd03980	-429.16	5.40076
cpd03981	-81.41	1.99429
cpd03982	31.43	1.26217
cpd03983	-8.48	0.899454
cpd03984	-0.55	0.9327
cpd03985	-53.25	0.924854
cpd03986	-124.69	1.19755
cpd03987	-132.21	1.36107
cpd03988	-190.79	1.31059
cpd03989	-109.04	1.10445
cpd03990	57.84	1.64106
cpd03991	-19.64	1.6579
cpd03992	-21.12	1.91803
cpd03993	-82.13	1.52625
cpd03994	66.88	1.77665
cpd03995	-14.28	1.56784
cpd03996	10000000	10000000
cpd03997	-22.32	1.41937
cpd03998	15.42	1.67113
cpd03999	-20.64	4.38202
cpd04000	-0.98	2.98818
cpd04001	18.68	1.92704
cpd04002	-14.54	1.50637
cpd04003	-47.76	1.35279
cpd04004	-60.1	1.55692
cpd04005	-54.74	1.14227
cpd04006	-20.62	1.33844
cpd04007	-108.82	1.06928
cpd04008	10000000	10000000
cpd04009	10000000	10000000
cpd04010	10000000	10000000
cpd04011	10000000	10000000
cpd04012	-238.06	0.519811
cpd04013	5.32	0.912867
cpd04014	5.32	0.912867
cpd04015	-24.48	0.786029
cpd04016	-24.48	0.786029
cpd04017	-16.55	0.823864
cpd04018	-69.25	0.814971
cpd04019	-69.25	0.814971
cpd04020	10000000	10000000
cpd04021	-680.33	2.86294
cpd04022	-640.49	2.77372
cpd04023	-611.8	2.81286
cpd04024	-631.47	2.78622
cpd04025	-640.49	2.77372
cpd04026	-640.49	2.77372
cpd04027	-641.81	2.72326
cpd04028	-228.87	4.73738
cpd04029	-821.22	3.70052
cpd04030	-229.049	4.48212
cpd04031	-223.689	4.39618
cpd04032	-219.687	6.1994
cpd04033	-180.207	6.08029
cpd04034	10000000	10000000
cpd04035	-648.37	2.75362
cpd04036	-597.35	3.06353
cpd04037	10000000	10000000
cpd04038	10000000	10000000
cpd04039	10000000	10000000
cpd04040	45.56	2.0723
cpd04041	61.14	2.20145
cpd04042	47.48	1.95776
cpd04043	17.68	1.90193
cpd04044	-25.54	1.89896
cpd04045	54.1	1.89157
cpd04046	65.41	2.12724
cpd04047	20.98	1.95784
cpd04048	-19.08	2.67481
cpd04049	-74.39	2.49578
cpd04050	-46.19	1.60057
cpd04051	-7.36	0.997229
cpd04052	-5.71	0.988474
cpd04053	-23.41	1.89867
cpd04054	-30.93	2.43177
cpd04055	-89.51	1.90616
cpd04056	10000000	10000000
cpd04057	-193.449	4.31068
cpd04058	-141.43	1.83694
cpd04059	-83.46	1.79865
cpd04060	-121.5	1.81182
cpd04061	-133.39	1.01103
cpd04062	-124.95	1.74497
cpd04063	-86.51	2.74226
cpd04064	-113.83	2.74925
cpd04065	-121.76	2.73815
cpd04066	-102.64	1.80884
cpd04067	-95.69	2.30785
cpd04068	-256.94	3.60614
cpd04069	-188.91	1.98028
cpd04070	-73.23	1.55979
cpd04071	-63.77	1.35847
cpd04072	-762.85	3.777
cpd04073	-117.36	1.1521
cpd04074	-108.962	6.58893
cpd04075	-171.113	1.29243
cpd04076	-243.772	1.29663
cpd04077	-252.782	1.22647
cpd04078	-93.7825	1.12697
cpd04079	-130.012	1.13215
cpd04080	-122.082	1.15874
cpd04081	-175.16	1.16566
cpd04082	-81.69	4.64371
cpd04083	-58.75	1.15238
cpd04084	-87.48	4.78465
cpd04085	-614.97	6.08672
cpd04086	-108.44	1.72877
cpd04087	-138.46	3.88148
cpd04088	-42.32	2.67737
cpd04089	-200.589	5.50061
cpd04090	10000000	10000000
cpd04091	-395.85	5.46627
cpd04092	-399.08	5.98904
cpd04093	-443.91	2.5506
cpd04094	-339.89	6.34738
cpd04095	-154.39	9.85982
cpd04096	-72.76	1.12585
cpd04097	10000000	10000000
cpd04098	10000000	10000000
cpd04099	10000000	10000000
cpd04100	10000000	10000000
cpd04101	29.86	2.69225
cpd04102	33.32	2.73886
cpd04103	-895.22	3.61772
cpd04104	-887.2	3.62838
cpd04105	-399.034	3.12843
cpd04106	-431.22	3.18869
cpd04107	-83.29	0.844957
cpd04108	-125.48	1.17899
cpd04109	4.21	2.52079
cpd04110	-13.67	2.77305
cpd04111	-836.37	3.61714
cpd04112	-73.78	1.7208
cpd04113	-55.9	2.36441
cpd04114	-43.09	1.16145
cpd04115	-49.39	1.07065
cpd04116	-125.48	1.17899
cpd04117	-51.01	1.06704
cpd04118	-125.48	1.17899
cpd04119	-1.28	1.7263
cpd04120	152.52	4.89983
cpd04121	99.61	3.22323
cpd04122	-35.03	0.270224
cpd04123	-744.03	3.79766
cpd04124	-744.03	3.79766
cpd04125	-71.75	1.10005
cpd04126	10000000	10000000
cpd04127	-1.01	1.03127
cpd04128	10000000	10000000
cpd04129	-8.47	0.33068
cpd04130	-790.69	3.78959
cpd04131	-51.06	0.955984
cpd04132	-18.24	1.04068
cpd04133	-49.96	0.527326
cpd04134	-40.48	0.515719
cpd04135	-93.18	0.501389
cpd04136	30	1.22892
cpd04137	-9.91	0.866006
cpd04138	-1.98	0.900487
cpd04139	-109.57	1.15245
cpd04140	-85.47	0.576243
cpd04141	-145.87	0.400264
cpd04142	-175.5	1.36163
cpd04143	-359.04	5.05069
cpd04144	-1091.23	8.11218
cpd04145	10000000	10000000
cpd04146	-256.59	4.70693
cpd04147	10000000	10000000
cpd04148	-99.28	1.33765
cpd04149	-70.57	0.998421
cpd04150	-317.92	5.59754
cpd04151	-303.27	5.59716
cpd04152	-278.44	5.47665
cpd04153	-309.21	5.52009
cpd04154	-294.56	5.52473
cpd04155	-348.69	5.64006
cpd04156	-334.04	5.64179
cpd04157	-334.04	5.64179
cpd04158	-319.39	5.67782
cpd04159	-532.75	6.60683
cpd04160	-373.01	5.92536
cpd04161	-493.27	6.49983
cpd04162	-381.56	5.85076
cpd04163	-501.82	6.4319
cpd04164	-416.81	5.8651
cpd04165	-537.07	6.44987
cpd04166	6.52	2.08306
cpd04167	5.86	1.22611
cpd04168	7.12	1.34201
cpd04169	7.12	1.34201
cpd04170	9.47	0.718267
cpd04171	10000000	10000000
cpd04172	-108.23	4.09231
cpd04173	-330.429	6.82081
cpd04174	-576.42	5.34998
cpd04175	-83.22	1.74245
cpd04176	-43.73	1.07749
cpd04177	10000000	10000000
cpd04178	10000000	10000000
cpd04179	81.28	3.49177
cpd04180	-77.35	0.668196
cpd04181	-112.994	0.937307
cpd04182	-15.52	2.47084
cpd04183	-164.89	2.29333
cpd04184	10000000	10000000
cpd04185	-392.04	0.643001
cpd04186	111.51	3.32432
cpd04187	10000000	10000000
cpd04188	-188.43	1.33504
cpd04189	-421.46	4.08351
cpd04190	12.18	2.7616
cpd04191	50.16	3.72198
cpd04192	119.58	3.77059
cpd04193	-103.56	2.16722
cpd04194	-120.89	2.0262
cpd04195	10000000	10000000
cpd04196	-69.238	3.97013
cpd04197	121.69	3.34128
cpd04198	-64.66	3.26087
cpd04199	10000000	10000000
cpd04200	-139.71	2.78219
cpd04201	-218.372	3.87383
cpd04202	-137.63	9.42045
cpd04203	-86.23	2.16727
cpd04204	10000000	10000000
cpd04205	108.56	2.34429
cpd04206	-11.77	2.29443
cpd04207	-34.06	2.08683
cpd04208	-62.79	1.90579
cpd04209	-90.8	3.07016
cpd04210	-502.96	7.95209
cpd04211	89.81	2.48289
cpd04212	10000000	10000000
cpd04213	100.4	2.39155
cpd04214	-0.16	1.44737
cpd04215	69.66	4.64982
cpd04216	10000000	10000000
cpd04217	-1396.73	22.3472
cpd04218	-33.43	1.4905
cpd04219	40.94	3.03947
cpd04220	-166.55	1.976
cpd04221	-199.15	2.39356
cpd04222	67.32	2.11576
cpd04223	-121.08	1.59042
cpd04224	-50.84	1.93106
cpd04225	9.15	3.47813
cpd04226	10000000	10000000
cpd04227	-68.47	2.10574
cpd04228	-104.22	2.09673
cpd04229	-53.53	2.9707
cpd04230	-29.95	4.06765
cpd04231	-129.31	4.33159
cpd04232	-172.013	3.06268
cpd04233	-121.52	3.99436
cpd04234	-95.93	3.01286
cpd04235	-143.66	4.31507
cpd04236	-146.01	4.28397
cpd04237	-172.8	2.74754
cpd04238	-83.44	2.19228
cpd04239	-90.49	4.72954
cpd04240	-69.57	4.21172
cpd04242	-222.6	0.558638
cpd04244	-190.58	4.2081
cpd04245	-64.74	2.0659
cpd04246	-118.99	2.60007
cpd04247	-52.9	2.36259
cpd04248	-87.45	0.973837
cpd04249	97.6	6.64696
cpd04250	90.52	2.07605
cpd04251	97.04	3.08613
cpd04252	-252.52	1.57514
cpd04253	-41.53	3.05546
cpd04254	10000000	10000000
cpd04255	10000000	10000000
cpd04256	74.18	2.00079
cpd04257	-133.59	2.34697
cpd04258	209.35	5.8431
cpd04259	-74.47	1.20024
cpd04260	97.86	3.09919
cpd04261	102.68	3.04463
cpd04262	-51.69	2.52927
cpd04263	146.26	2.71698
cpd04264	-98.37	2.58589
cpd04265	131.19	3.30536
cpd04266	-659.14	16.9239
cpd04267	-277.6	3.78614
cpd04268	121.55	2.22317
cpd04269	120.5	4.05259
cpd04270	-48.79	1.84912
cpd04271	118.73	3.49728
cpd04272	10000000	10000000
cpd04273	-222.92	4.42391
cpd04274	10000000	10000000
cpd04275	-193.07	4.38444
cpd04276	102.14	2.94986
cpd04277	-268.63	6.79158
cpd04278	90.52	2.07605
cpd04279	10000000	10000000
cpd04280	42.02	2.55123
cpd04281	10000000	10000000
cpd04282	-103.73	2.75132
cpd04283	-16.81	2.83581
cpd04284	-21.4	2.67172
cpd04285	14.52	1.49069
cpd04286	-352.31	10.8606
cpd04287	-392.15	10.8607
cpd04288	101.09	5.84786
cpd04289	-39.38	2.52243
cpd04290	71.68	2.11855
cpd04291	-155.12	1.88942
cpd04292	60.12	2.14106
cpd04293	-41.38	2.13279
cpd04294	10000000	10000000
cpd04295	-2.07	4.048
cpd04296	79.8	3.85331
cpd04297	-10.03	2.48071
cpd04298	-189.7	4.73165
cpd04299	10000000	10000000
cpd04300	44.19	2.13774
cpd04301	-114.8	1.5486
cpd04302	45.89	2.23218
cpd04303	10000000	10000000
cpd04304	-94.74	1.48621
cpd04305	-53.97	1.24796
cpd04306	-107.82	3.70897
cpd04307	-20.64	4.38202
cpd04308	1.24	2.82675
cpd04309	24.22	0.883263
cpd04310	10000000	10000000
cpd04311	-39.65	1.65199
cpd04312	-12.74	2.73761
cpd04313	10000000	10000000
cpd04314	10000000	10000000
cpd04315	10000000	10000000
cpd04316	10000000	10000000
cpd04317	10000000	10000000
cpd04318	-66.71	2.557
cpd04319	10000000	10000000
cpd04320	10000000	10000000
cpd04321	10000000	10000000
cpd04322	-667.29	2.99528
cpd04323	-251.29	2.98533
cpd04324	-222.6	3.03182
cpd04325	-255.98	3.2279
cpd04326	-285.58	3.41306
cpd04327	-280.77	3.59182
cpd04328	-270.52	3.5964
cpd04329	-58.02	3.60391
cpd04330	-43.37	3.62745
cpd04331	50.13	3.82527
cpd04332	-45.91	4.12128
cpd04333	53.24	2.38744
cpd04334	-13.66	2.18567
cpd04335	91.73	4.38447
cpd04336	10000000	10000000
cpd04337	50.94	2.36659
cpd04338	-85.96	0.952616
cpd04339	61.62	2.3497
cpd04340	108.04	3.04897
cpd04341	49.47	3.19714
cpd04342	10000000	10000000
cpd04343	-77	1.53016
cpd04344	16.05	1.59142
cpd04345	86.21	2.62803
cpd04346	-78.43	1.47138
cpd04347	-16.03	1.93936
cpd04348	-40.65	2.05598
cpd04349	-377.65	2.76924
cpd04350	-55.66	1.8962
cpd04351	10000000	10000000
cpd04352	79.97	2.00682
cpd04353	110.67	3.42222
cpd04354	-114.02	2.38198
cpd04355	-20.64	4.38202
cpd04356	-85.29	3.46637
cpd04357	74.69	2.97777
cpd04358	50.13	1.29683
cpd04359	-26.21	1.41844
cpd04360	-32.51	1.20755
cpd04362	-88.7	1.39433
cpd04363	-78.44	1.03879
cpd04364	-113.3	1.22243
cpd04365	-21.48	2.4234
cpd04366	-92.65	0.721982
cpd04367	18.86	1.1945
cpd04368	-52.58	1.41619
cpd04369	-60.1	1.55692
cpd04370	-131.88	1.42225
cpd04371	-11.92	1.62723
cpd04372	-51.4	1.80242
cpd04373	-17.28	2.03058
cpd04374	-54.84	2.25546
cpd04375	-87.24	1.88789
cpd04376	-24.06	1.84215
cpd04377	-94.22	1.40326
cpd04378	-62.12	1.74319
cpd04379	88.41	3.38467
cpd04380	10000000	10000000
cpd04381	10000000	10000000
cpd04382	99.97	3.07121
cpd04383	33.25	1.17042
cpd04384	-8.47	0.80823
cpd04385	-2	0.839017
cpd04386	-79.83	0.843859
cpd04387	3.83	1.53632
cpd04388	151.43	2.92864
cpd04389	-21.28	2.30481
cpd04390	-778.91	3.66324
cpd04391	-56.7	6.83071
cpd04392	-49.38	6.81051
cpd04393	-108.85	1.08095
cpd04394	10000000	10000000
cpd04395	-41.199	2.21326
cpd04396	7.63	3.21607
cpd04397	-7.39	1.53903
cpd04398	-80.04	1.49764
cpd04399	-3.19	2.53769
cpd04400	156.23	3.54971
cpd04401	-162.3	2.41173
cpd04402	108.59	2.44179
cpd04403	-25.53	2.42054
cpd04404	-8.68	1.28479
cpd04405	10000000	10000000
cpd04406	-78.43	1.47138
cpd04407	-49.12	0.960176
cpd04408	61.83	1.5328
cpd04409	10000000	10000000
cpd04410	-26.19	1.55178
cpd04411	15.84	3.06895
cpd04412	-0.18	1.89198
cpd04413	52.61	1.82256
cpd04414	122.72	3.15673
cpd04415	-91.91	0.84248
cpd04416	-790.99	3.78733
cpd04417	51.14	2.03537
cpd04418	36.95	1.22095
cpd04419	-261.91	0.945746
cpd04420	18.22	1.22151
cpd04421	10000000	10000000
cpd04422	59.2	2.69552
cpd04423	102.21	3.09756
cpd04424	10000000	10000000
cpd04425	123.79	3.13404
cpd04426	-139.74	2.27406
cpd04427	-53.16	3.02123
cpd04428	116.82	2.30959
cpd04429	-118.77	0.582652
cpd04430	-44.42	2.59559
cpd04431	3.24	2.02618
cpd04432	-1.77	5.77843
cpd04433	-38.23	0.845963
cpd04434	77.38	3.10484
cpd04435	-131.62	1.13395
cpd04436	-45.35	3.04224
cpd04437	-18.53	1.45646
cpd04438	-26.31	6.8856
cpd04439	10000000	10000000
cpd04440	10000000	10000000
cpd04441	-42.64	1.59064
cpd04442	10000000	10000000
cpd04443	65.39	2.83077
cpd04444	10000000	10000000
